id,log_price,property_type,room_type,amenities,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,description,first_review,host_has_profile_pic,host_identity_verified,host_response_rate,host_since,instant_bookable,last_review,latitude,longitude,name,neighbourhood,number_of_reviews,review_scores_rating,thumbnail_url,zipcode,bedrooms,beds
6901257,5.010635294096256,,,,3,1.0,,,True,,,,True,True,,,False,,40.69652362997076,-73.99161684624262,,,2,100,,,1.0,1.0
6304928,5.1298987149230735,,,,7,1.0,,,True,,,,True,False,,,True,,40.766115415949685,-73.98903992265213,,,6,93,,,3.0,3.0
7919400,4.976733742420574,,,,5,1.0,,,True,,,,True,True,,,True,,40.80810998936211,-73.94375584395794,,,10,92,,,1.0,3.0
13418779,6.620073206530356,,,,4,1.0,,,True,,,,True,True,,,False,,37.77200448256077,-122.43161868239788,,,0,-9223372036854775808,,,2.0,2.0
3808709,4.74493212836325,,,,2,1.0,,,True,,,,True,True,,,True,,38.925626916626506,-77.0345955156553,,,4,40,,,0.0,1.0
12422935,4.442651256490317,,,,2,1.0,,,True,,,,True,True,,,True,,37.7531640472884,-122.4295260773271,,,3,100,,,1.0,1.0
11825529,4.4188406077965965,,,,3,1.0,,,True,,,,True,False,,,True,,33.980454397275096,-118.46282073746792,,,15,97,,,1.0,1.0
13971273,4.787491742782046,,,,2,1.0,,,True,,,,True,True,,,False,,34.0467374142499,-118.2604389157384,,,9,93,,,1.0,1.0
180792,4.787491742782046,,,,2,1.0,,,True,,,,True,False,,,False,,37.78112798186231,-122.50109524305331,,,159,99,,,1.0,1.0
5385260,3.58351893845611,,,,2,1.0,,,True,,,,True,False,,,True,,33.99256298219745,-117.89599660615322,,,2,90,,,1.0,1.0
5578513,4.605170185988092,,,,2,1.0,,,True,,,,True,True,,,False,,40.72388327162678,-73.98388042569023,,,82,93,,,1.0,1.0
17423675,5.010635294096256,,,,4,1.5,,,True,,,,True,True,,,False,,33.87586235932281,-118.4032926485112,,,29,97,,,2.0,2.0
14066228,4.248495242049359,,,,2,1.0,,,True,,,,True,False,,,False,,33.81322842362806,-118.3894336462262,,,0,-9223372036854775808,,,1.0,1.0
2658946,5.298317366548036,,,,6,1.5,,,True,,,,True,True,,,True,,38.9196300059726,-77.03118942693335,,,13,89,,,2.0,3.0
583490,4.955827057601262,,,,2,1.0,,,True,,,,True,True,,,False,,33.778526474548066,-118.14592576139098,,,2,100,,,1.0,1.0
6226658,4.0943445622221,,,,2,1.5,,,True,,,,True,True,,,False,,41.90824020981887,-87.6952416693807,,,0,-9223372036854775808,,,1.0,1.0
7499179,4.31748811353631,,,,2,1.0,,,False,,,,True,False,,,False,,41.910308291446405,-87.67526101647806,,,15,91,,,1.0,1.0
14648556,4.59511985013459,,,,2,2.0,,,True,,,,True,True,,,False,,42.33919400511304,-71.04967212701762,,,12,88,,,1.0,1.0
17589436,4.882801922586372,,,,2,1.0,,,True,,,,True,True,,,False,,40.71908629555111,-73.99028485431758,,,26,86,,,1.0,2.0
18224863,4.59511985013459,,,,8,1.0,,,True,,,,True,False,,,True,,40.64377261506646,-73.95085465562892,,,5,72,,,3.0,3.0
7264511,4.382026634673881,,,,2,1.0,,,True,,,,True,True,,,False,,34.16579488038571,-118.44446201340568,,,26,98,,,1.0,1.0
16679342,3.688879454113936,,,,2,1.5,,,True,,,,True,True,,,False,,40.65627775986394,-73.9226454606154,,,57,89,,,1.0,1.0
3563677,4.90527477843843,,,,4,1.0,,,True,,,,True,True,,,True,,34.047002512589714,-118.2673519357346,,,73,99,,,1.0,1.0
17615783,4.007333185232471,,,,2,1.0,,,True,,,,True,True,,,False,,34.17536014179967,-118.4309043159636,,,2,100,,,1.0,1.0
2479317,6.956545443151567,,,,4,1.0,,,True,,,,True,False,,,False,,38.91127529462862,-77.03727241100898,,,0,-9223372036854775808,,,1.0,2.0
14122244,5.003946305945459,,,,6,1.0,,,True,,,,True,True,,,False,,40.69205727585964,-73.74546375359064,,,14,100,,,3.0,3.0
19407360,4.553876891600541,,,,2,1.0,,,True,,,,True,True,,,False,,34.100686487326065,-118.3642035832992,,,1,100,,,1.0,1.0
14490881,5.003946305945459,,,,4,1.0,,,True,,,,True,False,,,False,,40.73014487002588,-73.85154203859203,,,4,100,,,2.0,2.0
851978,5.1929568508902095,,,,3,1.0,,,True,,,,True,True,,,False,,34.05158404571294,-118.24292308604038,,,4,95,,,1.0,2.0
